,diffusion_time_ns,saturation,counts_x,counts_y,n_fluorophores,replicate
0,750.0,0.01,430,1294,100.0,0
1,750.0,0.01,411,1201,100.0,1
2,750.0,0.01,378,1307,100.0,2
3,750.0,0.01,425,1346,100.0,3
4,750.0,0.01,447,1257,100.0,4
5,750.0,0.01,456,1283,100.0,5
6,750.0,0.05,1956,5612,100.0,0
7,750.0,0.05,1865,5231,100.0,1
8,750.0,0.05,1902,5296,100.0,2
9,750.0,0.05,1852,5722,100.0,3
10,750.0,0.05,1980,5673,100.0,4
11,750.0,0.05,1928,5656,100.0,5
12,750.0,0.25,6674,18317,100.0,0
13,750.0,0.25,6310,18616,100.0,1
14,750.0,0.25,6608,18552,100.0,2
15,750.0,0.25,6513,18444,100.0,3
16,750.0,0.25,6492,18214,100.0,4
17,750.0,0.25,6576,18909,100.0,5
18,750.0,1.25,12975,31984,100.0,0
19,750.0,1.25,13714,33175,100.0,1
20,750.0,1.25,14047,32938,100.0,2
21,750.0,1.25,13327,32822,100.0,3
22,750.0,1.25,13658,33234,100.0,4
23,750.0,1.25,13698,34548,100.0,5
24,750.0,6.25,20114,33047,100.0,0
25,750.0,6.25,20626,35437,100.0,1
26,750.0,6.25,19911,35233,100.0,2
27,750.0,6.25,20903,34963,100.0,3
28,750.0,6.25,20925,35368,100.0,4
29,750.0,6.25,19658,33847,100.0,5
30,1200.0,0.01,444,1200,100.0,0
31,1200.0,0.01,417,1264,100.0,1
32,1200.0,0.01,406,1191,100.0,2
33,1200.0,0.01,394,1216,100.0,3
34,1200.0,0.01,382,1233,100.0,4
35,1200.0,0.01,432,1284,100.0,5
36,1200.0,0.05,1876,5495,100.0,0
37,1200.0,0.05,1969,5664,100.0,1
38,1200.0,0.05,1888,5666,100.0,2
39,1200.0,0.05,1926,5585,100.0,3
40,1200.0,0.05,1933,5397,100.0,4
41,1200.0,0.05,1876,5752,100.0,5
42,1200.0,0.25,6533,17842,100.0,0
43,1200.0,0.25,6587,18679,100.0,1
44,1200.0,0.25,6379,17607,100.0,2
45,1200.0,0.25,6234,17972,100.0,3
46,1200.0,0.25,6546,18373,100.0,4
47,1200.0,0.25,6403,18165,100.0,5
48,1200.0,1.25,14395,32621,100.0,0
49,1200.0,1.25,13484,31549,100.0,1
50,1200.0,1.25,13669,31101,100.0,2
51,1200.0,1.25,13698,31364,100.0,3
52,1200.0,1.25,13323,30746,100.0,4
53,1200.0,1.25,14075,32417,100.0,5
54,1200.0,6.25,21454,34145,100.0,0
55,1200.0,6.25,20910,32787,100.0,1
56,1200.0,6.25,21962,34466,100.0,2
57,1200.0,6.25,20476,32350,100.0,3
58,1200.0,6.25,20994,32731,100.0,4
59,1200.0,6.25,20883,32713,100.0,5
60,3000.0,0.01,408,1215,100.0,0
61,3000.0,0.01,419,1199,100.0,1
62,3000.0,0.01,367,1237,100.0,2
63,3000.0,0.01,412,1261,100.0,3
64,3000.0,0.01,442,1248,100.0,4
65,3000.0,0.01,401,1277,100.0,5
66,3000.0,0.05,1915,5400,100.0,0
67,3000.0,0.05,1933,5525,100.0,1
68,3000.0,0.05,1799,5391,100.0,2
69,3000.0,0.05,1794,5346,100.0,3
70,3000.0,0.05,1895,5308,100.0,4
71,3000.0,0.05,1857,5121,100.0,5
72,3000.0,0.25,6227,16354,100.0,0
73,3000.0,0.25,6383,16366,100.0,1
74,3000.0,0.25,6047,15882,100.0,2
75,3000.0,0.25,6337,16503,100.0,3
76,3000.0,0.25,6113,16064,100.0,4
77,3000.0,0.25,6359,16653,100.0,5
78,3000.0,1.25,15044,27937,100.0,0
79,3000.0,1.25,14036,28696,100.0,1
80,3000.0,1.25,14454,27142,100.0,2
81,3000.0,1.25,13846,26711,100.0,3
82,3000.0,1.25,13763,26208,100.0,4
83,3000.0,1.25,14099,26462,100.0,5
84,3000.0,6.25,22451,26844,100.0,0
85,3000.0,6.25,23753,26572,100.0,1
86,3000.0,6.25,21420,26637,100.0,2
87,3000.0,6.25,21684,27930,100.0,3
88,3000.0,6.25,21265,25348,100.0,4
89,3000.0,6.25,22984,28331,100.0,5
90,6000.0,0.01,411,1249,100.0,0
91,6000.0,0.01,427,1216,100.0,1
92,6000.0,0.01,374,1247,100.0,2
93,6000.0,0.01,405,1193,100.0,3
94,6000.0,0.01,415,1168,100.0,4
95,6000.0,0.01,383,1195,100.0,5
96,6000.0,0.05,1738,5139,100.0,0
97,6000.0,0.05,1824,5310,100.0,1
98,6000.0,0.05,1922,5316,100.0,2
99,6000.0,0.05,1907,5131,100.0,3
100,6000.0,0.05,1878,5362,100.0,4
101,6000.0,0.05,1801,5311,100.0,5
102,6000.0,0.25,6428,14166,100.0,0
103,6000.0,0.25,6330,15073,100.0,1
104,6000.0,0.25,6334,14187,100.0,2
105,6000.0,0.25,6116,14829,100.0,3
106,6000.0,0.25,6525,15845,100.0,4
107,6000.0,0.25,6602,15063,100.0,5
108,6000.0,1.25,14183,22109,100.0,0
109,6000.0,1.25,14534,22740,100.0,1
110,6000.0,1.25,15282,23448,100.0,2
111,6000.0,1.25,16047,23616,100.0,3
112,6000.0,1.25,14734,22375,100.0,4
113,6000.0,1.25,14366,22544,100.0,5
114,6000.0,6.25,25263,22546,100.0,0
115,6000.0,6.25,24579,22904,100.0,1
116,6000.0,6.25,24017,22283,100.0,2
117,6000.0,6.25,22813,22264,100.0,3
118,6000.0,6.25,23706,23481,100.0,4
119,6000.0,6.25,24575,24173,100.0,5
