,x,y,delay_time_ns,diff_time_ns,entry,polarization
0,4674,2390,100,450,0,-0.3233295583238958
1,5174,2290,200,450,0,-0.38638799571275456
2,5589,2138,400,450,0,-0.4466157629092791
3,5679,2105,800,450,0,-0.4591469681397739
4,5794,2226,1600,450,0,-0.44488778054862843
5,5670,2142,3200,450,0,-0.45161290322580644
6,5714,2144,6400,450,0,-0.4543140748282006
7,4646,2421,100,450,1,-0.31484363945096927
8,5198,2345,200,450,1,-0.37823147288877107
9,5524,2196,400,450,1,-0.4310880829015544
10,5664,2091,800,450,1,-0.46073500967117986
11,5731,2191,1600,450,1,-0.4468568543297147
12,5773,2111,3200,450,1,-0.46448503297818367
13,5642,2038,6400,450,1,-0.46927083333333336
14,4716,2449,100,450,2,-0.3163991625959525
15,5263,2296,200,450,2,-0.3925122370683953
16,5689,2244,400,450,2,-0.4342619437791504
17,5686,2177,800,450,2,-0.44626732799186064
18,5748,2112,1600,450,2,-0.46259541984732827
19,5608,2193,3200,450,2,-0.43776438918087424
20,5779,2061,6400,450,2,-0.474234693877551
21,4083,2471,100,900,0,-0.24595666768385718
22,4435,2368,200,900,0,-0.3038365427017492
23,5231,2290,400,900,0,-0.3910384257412578
24,5686,2228,800,900,0,-0.436947182208744
25,5597,2166,1600,900,0,-0.4419683112198892
26,5796,2130,3200,900,0,-0.46252838758516274
27,5617,2081,6400,900,0,-0.45934008833463236
28,4012,2597,100,900,1,-0.2141019821455591
29,4577,2411,200,900,1,-0.30995993131081856
30,5122,2311,400,900,1,-0.37817839364993944
31,5464,2260,800,900,1,-0.41481097876747797
32,5664,2091,1600,900,1,-0.46073500967117986
33,5606,2130,3200,900,1,-0.44932781799379523
34,5641,2131,6400,900,1,-0.4516212043232115
35,3950,2557,100,900,2,-0.2140771476871062
36,4518,2336,200,900,2,-0.31835424569594395
37,5010,2183,400,900,2,-0.3930209926317253
38,5471,2165,800,900,2,-0.4329491880565741
39,5709,2106,1600,900,2,-0.46103646833013434
40,5690,2224,3200,900,2,-0.43795804902704066
41,5607,2164,6400,900,2,-0.4430575215544975
42,3418,2785,100,3000,0,-0.10204739642108657
43,3468,2708,200,3000,0,-0.12305699481865284
44,3957,2547,400,3000,0,-0.21678966789667897
45,4530,2409,800,3000,0,-0.3056636402939905
46,5066,2295,1600,3000,0,-0.37644341801385683
47,5476,2136,3200,3000,0,-0.43878087230688384
48,5600,2128,6400,3000,0,-0.4492753623188406
49,3300,2767,100,3000,1,-0.0878523158068238
50,3489,2696,200,3000,1,-0.12821341956346
51,3944,2512,400,3000,1,-0.2218091697645601
52,4413,2400,800,3000,1,-0.2954645530603259
53,5014,2289,1600,3000,1,-0.373134328358209
54,5458,2150,3200,3000,1,-0.43480546792849634
55,5691,2138,6400,3000,1,-0.4538255205007025
56,3261,2757,100,3000,2,-0.08374875373878365
57,3498,2590,200,3000,2,-0.14914586070959265
58,3878,2600,400,3000,2,-0.19728311207162705
59,4475,2342,800,3000,2,-0.31289423500073343
60,5034,2216,1600,3000,2,-0.3886896551724138
61,5570,2166,3200,3000,2,-0.4400206825232678
62,5607,2064,6400,3000,2,-0.4618693781775518
63,3998,2572,100,450+3000,0,-0.21704718417047184
64,4340,2529,200,450+3000,0,-0.2636482748580579
65,4773,2397,400,450+3000,0,-0.3313807531380753
66,5108,2255,800,450+3000,0,-0.387477930191498
67,5374,2213,1600,450+3000,0,-0.4166337155660999
68,5621,2073,3200,450+3000,0,-0.4611385495191058
69,5579,2143,6400,450+3000,0,-0.44496244496244497
70,3936,2622,100,450+3000,1,-0.20036596523330283
71,4380,2535,200,450+3000,1,-0.2668112798264642
72,4819,2419,400,450+3000,1,-0.33158331030671456
73,5049,2355,800,450+3000,1,-0.36385737439222043
74,5607,2214,1600,450+3000,1,-0.43383199079401613
75,5645,2010,3200,450+3000,1,-0.47485303723056826
76,5734,2131,6400,450+3000,1,-0.4581055308328036
77,3914,2580,100,450+3000,2,-0.20542038805050816
78,4301,2423,200,450+3000,2,-0.27929803688280785
79,4736,2358,400,450+3000,2,-0.3352128559345926
80,5140,2267,800,450+3000,2,-0.38787633319832593
81,5537,2241,1600,450+3000,2,-0.4237593211622525
82,5677,2126,3200,450+3000,2,-0.4550813789568115
83,5799,2166,6400,450+3000,2,-0.456120527306968
