,frame,mean_arrival,date,delay_us
0,2,1.8832590102290627,20230410,60
1,3,1.9918678021036822,20230410,120
2,4,2.0535414510178587,20230410,180
3,5,2.1229366190704964,20230410,240
4,6,2.0781505250875174,20230410,300
5,7,2.1368635986387927,20230410,360
6,8,2.1202047603772014,20230410,420
7,9,2.1059456213146976,20230410,480
8,10,2.1367545604534497,20230410,540
9,11,2.2178473474034623,20230410,600
10,12,2.1495487922559615,20230410,660
11,13,2.213298681066827,20230410,720
12,14,2.1178432552689834,20230410,780
13,15,1.9513470101419248,20230410,840
14,16,2.1417645364161313,20230410,900
15,2,1.8692471669998554,20230411,60
16,3,1.9839930079585013,20230411,120
17,4,2.019201800079749,20230411,180
18,5,2.0384400277710446,20230411,240
19,6,2.0738870872641497,20230411,300
20,7,2.0286656606534503,20230411,360
21,8,2.0222305936931475,20230411,420
22,9,2.2338896997683326,20230411,480
23,10,2.294353100342053,20230411,540
24,11,2.2811124399978606,20230411,600
25,12,2.302854605048327,20230411,660
26,13,2.1855880755174866,20230411,720
27,14,2.2509544571069737,20230411,780
28,15,2.2345334187179926,20230411,840
29,16,2.2743926589226007,20230411,900
